"","CO.GT.","PT08.S1.CO.","C6H6.GT.","PT08.S2.NMHC.","NOx.GT.","PT08.S3.NOx.","NO2.GT.","PT08.S4.NO2.","PT08.S5.O3.","T","RH","AH"
"CO.GT.",1,0.877013779678285,0.93000843875999,0.914310223513927,0.786455555089139,-0.701037814301866,0.673839567337029,0.63083404213354,0.853480044051857,0.0183342487243302,0.06475314711287,0.0593461685981366
"PT08.S1.CO.",0.877013779678285,1,0.877430168259767,0.886068308059547,0.707704734737453,-0.762894512156597,0.628262759710911,0.675909600833044,0.897166355105183,0.0282767668967181,0.169234079646905,0.149752387855896
"C6H6.GT.",0.93000843875999,0.877430168259767,1,0.982704558692247,0.718343832001748,-0.725721794082823,0.603240956271765,0.761805246645539,0.861153585018581,0.189002562636465,-0.0215915300125567,0.187071565200347
"PT08.S2.NMHC.",0.914310223513927,0.886068308059547,0.982704558692247,1,0.705359223814011,-0.781630289041136,0.633309541629882,0.774287538436302,0.876777275751083,0.228333078666011,-0.0460837423055371,0.205590275463923
"NOx.GT.",0.786455555089139,0.707704734737453,0.718343832001748,0.705359223814011,1,-0.662166312521971,0.757029123827458,0.233792602076585,0.788550247934182,-0.275998354565289,0.232255189774661,-0.144186032113223
"PT08.S3.NOx.",-0.701037814301866,-0.762894512156597,-0.725721794082823,-0.781630289041136,-0.662166312521971,1,-0.641376943132069,-0.511223441971437,-0.793364113756373,-0.0994948349331585,-0.116479467471838,-0.223380993206371
"NO2.GT.",0.673839567337029,0.628262759710911,0.603240956271765,0.633309541629882,0.757029123827458,-0.641376943132069,1,0.142612010224774,0.702524105829813,-0.214324701440852,-0.0753328961770685,-0.349646009296944
"PT08.S4.NO2.",0.63083404213354,0.675909600833044,0.761805246645539,0.774287538436302,0.233792602076585,-0.511223441971437,0.142612010224774,1,0.574242002370613,0.5665855553458,-0.00916007723692439,0.64639012603262
"PT08.S5.O3.",0.853480044051857,0.897166355105183,0.861153585018581,0.876777275751083,0.788550247934182,-0.793364113756373,0.702524105829813,0.574242002370613,1,-0.0461460092074371,0.164821207927947,0.0758069324638524
"T",0.0183342487243302,0.0282767668967181,0.189002562636465,0.228333078666011,-0.275998354565289,-0.0994948349331585,-0.214324701440852,0.5665855553458,-0.0461460092074371,1,-0.563908916920409,0.660638059098459
"RH",0.06475314711287,0.169234079646905,-0.0215915300125567,-0.0460837423055371,0.232255189774661,-0.116479467471838,-0.0753328961770685,-0.00916007723692439,0.164821207927947,-0.563908916920409,1,0.179575919469973
"AH",0.0593461685981366,0.149752387855896,0.187071565200347,0.205590275463923,-0.144186032113223,-0.223380993206371,-0.349646009296944,0.64639012603262,0.0758069324638524,0.660638059098459,0.179575919469973,1
