"Date","Time","CO.GT.","PT08.S1.CO.","C6H6.GT.","PT08.S2.NMHC.","NOx.GT.","PT08.S3.NOx.","NO2.GT.","PT08.S4.NO2.","PT08.S5.O3.","T","RH","AH","NOx2","C6H6_2","NOx_RH","NOx_T","PAN_proxy","HONO_proxy","SAPRC_proxy"
"2004-03-10","18.00.00",2.6,1360,11.9,1046,166,1056,113,1692,1268,13.6,48.9,0.7578,27556,141.61,8117.4,2257.6,111.508143,100.494508,116.755249
"2004-03-10","19.00.00",2,1292,9.4,955,103,1174,92,1559,972,13.3,47.7,0.7255,10609,88.36,4913.1,1369.9,90.794403,89.276422,97.917224
"2004-03-10","20.00.00",2.2,1402,9,939,131,1140,114,1555,1074,11.9,54,0.7502,17161,81,7074,1558.9,98.838795,91.034346,104.4872
"2004-03-10","21.00.00",2.2,1376,9.2,948,172,1092,122,1584,1203,11,60,0.7867,29584,84.64,10320,1892,110.152632,94.42688,113.969576
"2004-03-10","22.00.00",1.6,1272,6.5,836,131,1205,116,1490,1110,11.2,59.6,0.7888,17161,42.25,7807.6,1467.2,97.69537,87.264384,102.117425
"2004-03-10","23.00.00",1.2,1197,4.7,750,89,1337,96,1393,949,11.2,59.2,0.7848,7921,22.09,5268.8,996.8,83.410682,80.02432,88.808681
"2004-03-11","00.00.00",1.2,1185,3.6,690,62,1462,77,1333,733,11.3,56.8,0.7603,3844,12.96,3521.6,700.6,71.219308,76.61666,76.657364
"2004-03-11","01.00.00",1,1136,3.3,672,62,1453,76,1333,730,10.7,60,0.7702,3844,10.89,3720,663.4,70.868407,74.959836,76.152101
"2004-03-11","02.00.00",0.9,1094,2.3,609,45,1579,60,1276,620,10.7,59.7,0.7648,2025,5.29,2686.5,481.5,63.208322,72.08935,68.409061
"2004-03-11","03.00.00",0.6,1010,1.7,561,106,1705,72,1235,501,10.3,60.2,0.7517,11236,2.89,6381.2,1091.8,72.316447,82.978124,70.880101
